No,UID,Tanggal,Waktu
312,0819165300,0,0:10:7
313,0431439014,0,0:10:9
314,0819201908,0,0:10:11
315,0818838676,0,0:10:13
316,0818717332,0,0:10:14
317,0819379444,0,0:10:16
318,0819919780,0,0:10:17
319,0818690484,0,0:10:19
320,0431780054,0,0:10:21
321,0819432292,0,0:10:22
322,0430727350,0,0:10:24
323,0819466564,0,0:10:27
324,0431043446,0,0:10:28
325,0818993620,0,0:10:35
326,0819635652,0,0:10:37
327,0431492790,0,0:10:38
328,0818782260,0,0:10:40
329,0819741860,0,0:10:42
330,0818795172,0,0:10:44
331,0818967412,0,0:10:45
332,0431641430,0,0:10:47
333,0431917302,0,0:10:49
334,0431671654,0,0:10:50
335,0430871494,0,0:10:52
336,0431982182,0,0:10:54
337,0431348038,0,0:10:55
338,0431245686,0,0:10:57
339,0431296758,0,0:10:59
340,0430743638,0,0:11:0
341,0430787462,0,0:11:2
342,0430763782,0,0:11:3
343,0431460806,0,0:11:5
344,0438917158,0,0:11:7
345,0431142054,0,0:11:8
346,0431442934,0,0:11:10
347,0431913670,0,0:11:11
348,0431922630,0,0:11:13
349,0439547830,0,0:11:14
350,0431015990,0,0:11:16
351,0431809862,0,0:11:20
352,0431727606,0,0:11:22
353,0431588214,0,0:11:24
354,0442469574,0,0:11:26
355,0439569590,0,0:11:28
356,0440018710,0,0:11:29
357,0431008966,0,0:11:31
358,0440051334,0,0:11:33
359,0431047606,0,0:11:34
360,0431250070,0,0:11:36
361,0430937142,0,0:11:40
362,0819416500,0,0:11:41
363,0819040756,0,0:11:43
364,0818697236,0,0:11:45
365,0819281252,0,0:11:46
366,0819932868,0,0:11:48
367,0819650852,0,0:11:50
368,0430925446,0,0:11:51
369,0430902118,0,0:11:53
370,0430772998,0,0:11:55
371,0438949446,0,0:11:56
372,0438981142,0,0:11:58
373,0819483364,0,0:12:0
374,0431625334,0,0:12:2
375,0431770102,0,0:12:3
376,0819903556,0,0:12:5
377,0819041876,0,0:12:7
378,0430756934,0,0:12:9
379,0431160214,0,0:12:11
380,0431026198,0,0:12:13
381,0819541188,0,0:14:39
382,0431398326,0,0:14:41
383,0431767014,0,0:14:42
384,0818680596,0,0:14:44
385,0819842852,0,0:14:46
386,0819078292,0,0:14:47
387,0441808806,0,0:14:49
388,0818769316,0,0:14:50
389,0431916518,0,0:14:52
390,0431946246,0,0:14:54
391,0819901348,0,0:14:57
392,0819738068,0,0:14:58
393,0431831142,0,0:15:0
394,0430890070,0,0:15:2
395,0819694340,0,0:15:3
396,0818790020,0,0:15:5
397,0431230774,0,0:15:7
398,0431931798,0,0:15:8
399,0431142102,0,0:15:10
400,0819467300,0,0:15:11
401,0818969956,0,0:23:7
402,0431513942,0,0:23:10
403,0440071878,0,0:23:11
404,0442268742,0,0:23:13
405,0442709750,0,0:23:15
406,0442182806,0,0:23:16
407,0441804918,0,0:23:18
408,0442216998,0,0:23:20
409,0431547030,0,0:23:22
410,0442022230,0,0:23:24
411,0441672710,0,0:23:25
412,0442343942,0,0:23:27
413,0818714436,0,0:23:28
414,0441989894,0,0:23:31
415,0819955700,0,0:23:33
416,0819002532,0,0:23:34
417,0819524164,0,0:23:36
418,0819654660,0,0:23:37
419,0818776628,0,0:23:39
420,0818669844,0,0:23:41
421,0818843956,0,0:23:43
422,0819669300,0,0:23:44
423,0819291252,0,0:23:46
424,0818957780,0,0:23:48
425,0819424292,0,0:23:49
426,0819559780,0,0:23:51
427,0819731956,0,0:23:52
428,0818908900,0,0:23:54
429,0818829012,0,0:23:55
430,0819758820,0,0:23:57
431,0819774884,0,0:23:59
432,0442368566,0,0:24:0
433,0819006292,0,0:24:2
434,0819830868,0,0:24:5
435,0819151332,0,0:24:7
436,0819075780,0,0:24:9
437,0819020260,0,0:24:10
438,0431365702,0,0:24:12
439,0819351332,0,0:24:13
440,0819253348,0,0:24:15
441,0819110212,0,0:24:16
442,0819496660,0,0:24:19
443,0818909156,0,0:24:23
444,0819682436,0,0:24:24
445,0442293862,0,0:24:26
446,0819183604,0,0:24:28
447,0819193572,0,0:24:30
448,0818791396,0,0:24:32
449,0819608852,0,0:24:33
450,0819257860,0,0:24:37
451,0439219766,0,0:24:39
452,0819575332,0,0:24:43
453,0442296982,0,0:24:45
454,0819200804,0,0:24:47
455,0819925956,0,0:24:52
456,0818638948,0,0:24:54
457,0442725654,0,0:24:55
458,0431534598,0,0:24:57
459,0431272742,0,0:24:59
460,0442302214,0,0:25:0
461,0442461078,0,0:25:2
462,0442319158,0,0:25:3
463,0441523638,0,0:25:5
464,0442095190,0,0:25:6
465,0819553316,0,0:25:8
466,0819256420,0,0:25:9
467,0819616116,0,0:25:11
468,0441871862,0,0:25:12
469,0441541174,0,0:25:14
470,0441957046,0,0:25:15
471,0442554694,0,0:25:17
472,0441787142,0,0:25:18
473,0432014502,0,0:25:20
474,0442566470,0,0:25:22
475,0818756500,0,0:25:32
476,0819571956,0,0:25:33
477,0441807606,0,0:25:38
478,0442115190,0,0:25:40
479,0441802934,0,0:25:42
480,0431206422,0,0:25:44
